scan_utc,scan_start,scan_end,ticker,alias,award_group,date_type,error
2026-08-25T15:36:42.461652+00:00,2026-08-23,2026-08-25,SPR,SPIRIT AEROSYSTEMS INC,idvs,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-25T15:36:42.461659+00:00,2026-08-23,2026-08-25,TXT,TEXTRON,contracts,action_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-25T15:36:42.461664+00:00,2026-08-23,2026-08-25,TXT,TEXTRON,contracts,last_modified_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-26T16:44:15.324859+00:00,2026-08-23,2026-08-26,SPR,SPIRIT AEROSYSTEMS INC,contracts,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-26T16:44:15.324905+00:00,2026-08-23,2026-08-26,SPR,SPIRIT AEROSYSTEMS INC,idvs,action_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-26T16:44:15.324912+00:00,2026-08-23,2026-08-26,SPR,SPIRIT AEROSYSTEMS INC,idvs,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-26T16:44:15.324918+00:00,2026-08-23,2026-08-26,TXT,TEXTRON,contracts,action_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-26T16:44:15.324924+00:00,2026-08-23,2026-08-26,TXT,TEXTRON,contracts,last_modified_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T00:09:12.193564+00:00,2026-08-25,2026-08-28,SPR,SPIRIT AEROSYSTEMS INC,contracts,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T00:09:12.193610+00:00,2026-08-25,2026-08-28,SPR,SPIRIT AEROSYSTEMS INC,idvs,action_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T00:09:12.193616+00:00,2026-08-25,2026-08-28,SPR,SPIRIT AEROSYSTEMS INC,idvs,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T00:09:12.193621+00:00,2026-08-25,2026-08-28,TXT,TEXTRON,contracts,action_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T00:09:12.193625+00:00,2026-08-25,2026-08-28,TXT,TEXTRON,contracts,last_modified_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T21:22:52.533614+00:00,2026-08-27,2026-08-28,SPR,SPIRIT AEROSYSTEMS INC,contracts,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T21:22:52.533663+00:00,2026-08-27,2026-08-28,SPR,SPIRIT AEROSYSTEMS INC,idvs,action_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T21:22:52.533671+00:00,2026-08-27,2026-08-28,SPR,SPIRIT AEROSYSTEMS INC,idvs,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T21:22:52.533676+00:00,2026-08-27,2026-08-28,TXT,TEXTRON,contracts,action_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T21:22:52.533681+00:00,2026-08-27,2026-08-28,TXT,TEXTRON,contracts,last_modified_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T21:57:19.233195+00:00,2026-08-27,2026-08-28,SPR,SPIRIT AEROSYSTEMS INC,contracts,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T21:57:19.233239+00:00,2026-08-27,2026-08-28,SPR,SPIRIT AEROSYSTEMS INC,idvs,action_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T21:57:19.233244+00:00,2026-08-27,2026-08-28,SPR,SPIRIT AEROSYSTEMS INC,idvs,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T21:57:19.233248+00:00,2026-08-27,2026-08-28,TXT,TEXTRON,contracts,action_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T21:57:19.233252+00:00,2026-08-27,2026-08-28,TXT,TEXTRON,contracts,last_modified_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
