ticker,award_date,company,MTS_signal_score,stage2_v2_pred_peak,stage2_rank_high_to_low,peak_pct,hit_5p0,hit_7p5,hit_10p0,hit_12p5,hit_15p0,hit_20p0,log_market_cap_preaward,award_to_market_cap,award_to_adv60
WWD,2026-01-20,"WOODWARD, INC.",2.241537452065266,16.12411117553711,113,22.963693950419906,1,1,1,1,1,1,23.7164100555144,4.7146860909064386e-07,5.8750881033273936e-05
PLTR,2025-09-19,PALANTIR TECHNOLOGIES INC.,2.8263392635037126,15.923698425292969,114,13.591750298311457,1,1,1,1,0,0,26.763123900856076,4.610362211125496e-05,0.0017703033533369257
PLTR,2025-09-23,PALANTIR USG INC,2.6681718112999953,15.725664138793945,115,13.492188010010707,1,1,1,1,0,0,26.77637136144605,2.608012220067063e-05,0.0010005395812962645
GE,2025-09-16,GENERAL ELECTRIC COMPANY,2.6202695640739373,15.723608016967773,116,12.064469218821895,1,1,1,0,0,0,26.435599533950636,0.0,0.0
HON,2025-08-15,HONEYWELL INTERNATIONAL INC.,2.3538979397024824,15.390538215637207,117,2.795590261163161,0,0,0,0,0,0,25.62119237696358,0.0,0.0
WWD,2025-12-23,WOODWARD HRT INC,2.202706652734626,14.227190017700195,118,27.64623498249701,1,1,1,1,1,1,23.66129486978579,7.1362403094905015e-06,0.0008878555020816803
HON,2026-01-15,HONEYWELL LIMITED,2.2149201307048183,13.926456451416016,119,15.929430869293949,1,1,1,1,1,0,25.727209907235462,0.0,0.0
NOC,2025-08-12,"NORTHROP GRUMMAN TECHNICAL SERVICES, INC.",3.2892719349554387,13.87639331817627,120,10.271603947342589,1,1,1,0,0,0,25.12751910354536,0.0,0.0
ONDS,2026-03-23,"CONDOR RELIABILITY SERVICES, INC.",3.562148035328294,13.792927742004395,121,24.58715962356286,1,1,1,1,1,1,22.262508559950206,0.00033865447210093677,0.0014906598855115802
HON,2026-01-16,HONEYWELL INTERNATIONAL INC.,2.2301460719782455,13.44704818725586,122,13.620252642030062,1,1,1,1,0,0,25.73646101472538,0.0,0.0
DE,2025-09-05,"JOHN DEERE SHARED SERVICES, LLC",2.7461744281810114,13.39419174194336,123,8.960402080683183,1,1,0,0,0,0,25.565805997682883,6.026069904241836e-05,0.01212493798454869
HON,2025-08-12,HONEYWELL INTERNATIONAL INC.,2.7051071128167403,13.39419174194336,123,3.2164368817165334,0,0,0,0,0,0,25.61313992409321,7.306268449608373e-05,0.012786030024697798
IBM,2025-08-12,INTERNATIONAL BUSINESS MACHINES CORPORATION,2.7172261881350224,12.632411003112793,125,34.905104255551265,1,1,1,1,1,1,26.09176459914117,7.78469060667189e-07,0.0001413631516558477
GE,2025-10-23,GENERAL ELECTRIC COMPANY,2.2136171478662994,12.613441467285156,126,12.972159021883733,1,1,1,1,0,0,26.474829027562045,0.0,0.0
ROK,2025-12-19,ROCKWELL AUTOMATION INC,2.757663259288197,12.5908784866333,127,8.699824826523939,1,1,0,0,0,0,24.501625891986663,2.5582893178258148e-05,0.0034076955386322166
GE,2025-08-12,GENERAL ELECTRIC COMPANY,3.243323279398614,12.584391593933105,128,12.528701703997935,1,1,1,1,0,0,26.39438239627611,0.0,0.0
CAT,2025-08-12,CATERPILLAR INC,3.218598863428924,12.011670112609863,129,52.02136710399803,1,1,1,1,1,1,25.96863027725266,0.0,0.0
MRCY,2025-10-24,MERCURY SYSTEMS INC,3.1078185584487086,11.666385650634766,130,29.71543568147441,1,1,1,1,1,1,22.261767134994916,0.0,0.0
WWD,2025-08-19,WOODWARD HRT INC,3.2158185046609655,11.532806396484375,131,29.372467202235164,1,1,1,1,1,1,23.414829074477307,0.0,0.0
WWD,2025-08-14,WOODWARD HRT INC,3.2159876764124307,11.332257270812988,132,28.765262002059956,1,1,1,1,1,1,23.414181057676913,0.0,0.0
HON,2026-01-22,HONEYWELL INTERNATIONAL INC.,2.22583730946106,11.225801467895508,133,12.011983979520213,1,1,1,0,0,0,25.75557761908365,0.0,0.0
GE,2025-08-13,GENERAL ELECTRIC COMPANY,2.7346068345148598,10.206435203552246,134,17.036402646789007,1,1,1,1,1,0,26.410351614514298,2.265495590094696e-06,0.000409861728402312
CAT,2025-08-13,CATERPILLAR INC,2.7296161497077858,9.875997543334961,135,51.657573130371716,1,1,1,1,1,1,25.97878572600235,0.0,0.0
PLTR,2025-11-07,PALANTIR USG INC,2.273205212437447,9.764117240905762,136,9.127188310942103,1,1,0,0,0,0,26.75688078762588,0.0,0.0
PLTR,2025-10-15,PALANTIR USG INC,2.2066976473016284,9.650138854980469,137,15.343502008567068,1,1,1,1,1,0,26.764479167728133,0.0,0.0
