family,block,run,sn,auc20,auc50,prior_award_days_total,prior_transaction_count_total,days_since_last_award,prior_abs_award_mean,prior_abs_award_median,prior_abs_award_max,prior_signed_award_mean,current_to_prior_abs_mean,current_to_prior_abs_median,current_award_abs_percentile,prior_response_count_60d,prior_response_mean_60d,prior_response_median_60d,prior_max_gain_mean_60d,prior_hit_rate_10pct_within_60d,prior_hit_rate_20pct_within_60d,prior_response_count_20d,prior_response_mean_20d,prior_response_median_20d,prior_max_gain_mean_20d,prior_hit_rate_10pct_within_20d,prior_hit_rate_20pct_within_20d,prior_award_days_30d,prior_transactions_30d,prior_abs_dollars_30d,prior_signed_dollars_30d,prior_positive_dollars_30d,prior_negative_dollars_30d,award_frequency_acceleration_30d,award_dollar_acceleration_30d,pre_return_5d,pre_return_20d,pre_return_60d,pre_return_120d,relative_strength_ita_5d,relative_strength_ita_20d,relative_strength_ita_60d,relative_strength_ita_120d,relative_strength_spy_5d,relative_strength_spy_20d,relative_strength_spy_60d,relative_strength_spy_120d,same_day_award_count,transaction_amount_sum,transaction_amount_abs_sum,current_agency_count,current_award_type_count
market_momentum,1,3,-12.634318546825458,0.48346190562192004,0.611955200555652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,,,,,
market_momentum,1,4,-8.859140410240647,0.4889896540158415,0.6137784337558604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,
market_momentum,1,5,-5.9963536655166925,0.4592997755360046,0.4963535335995833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,
market_momentum,1,6,-36.832041080944784,0.5122036172243867,0.5589512068067374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
market_momentum,1,7,-26.783430561739298,0.49347893392502384,0.5727556867511722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,
market_momentum,1,8,-21.836157239581155,0.46893624706519776,0.5546535856919604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,
rel_strength_ita,1,1,-5.343283287325833,0.4407879460254393,0.43405973259246394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
rel_strength_ita,1,2,-9.428456777753947,0.44755411646327303,0.4296752908491058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,
rel_strength_ita,1,3,-7.802899878072884,0.4890477050491499,0.4801614863691613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,
rel_strength_ita,1,4,-9.140668870468003,0.4395946747852112,0.4739104011113041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,,,
