ticker,award_date,award_abs,preaward_close,shares_known_at_award,market_cap_before,sec_cik,revenue_concept,ltm_revenue_before,ltm_revenue_method,ltm_revenue_source,award_to_market_cap,log10_award_to_market_cap,log10_market_cap_before,award_to_ltm_revenue
BA,2025-09-12,41801542.43,219.99000549316406,756158016.0,166347206093.54004,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.00025129091982761787,-3.5998232039661437,11.221015511015793,0.0005460042898940686
BA,2025-09-15,44614746.82,215.94000244140625,756158016.0,163284763821.1289,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.0002732327608280307,-3.5634672296104277,11.212945662402825,0.0005827498637652007
BA,2025-09-16,32291257.08,215.75,756158016.0,163141091952.0,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.0001979345405478888,-3.7034784126636393,11.212563364843406,0.0004217826392716728
BA,2025-09-17,8489293.23,215.02000427246094,756157695.0,162589030809.5542,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,5.22131978260193e-05,-4.282219707370312,11.211091242244663,0.00011088563369427501
BA,2025-09-18,210237401.91,214.6300048828125,756157695.0,162294129770.02625,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.001295409773649301,-2.887592830590797,11.210302811541629,0.0027460834377408274
BA,2025-09-19,2863364.03,215.66000366210938,756157695.0,163072971272.83218,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,1.7558789832861983e-05,-4.755505419353671,11.212381984340043,3.740075014041458e-05
BA,2025-09-22,8555030.67,215.64999389648438,756157695.0,163065402311.5297,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,5.246380009939796e-05,-4.280140255445482,11.212361826282027,0.00011174428440810355
BA,2025-09-23,3817114.32,212.08999633789062,756157695.0,160373482763.41782,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,2.3801405657760693e-05,-4.623397393725754,11.205132560696518,4.985846628090753e-05
BA,2025-09-24,660820.84,216.33999633789062,756157695.0,163587152967.16782,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,4.039564403523959e-06,-5.393665463440197,11.213749194111918,8.631523922726263e-06
BA,2025-09-25,83296.0,215.10000610351562,756157695.0,162649524809.7203,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,5.121195410650351e-07,-6.290628652373374,11.211252798802516,1.0879974921302525e-06
BA,2025-09-26,8913664.290000001,213.52999877929688,756157695.0,161462351690.30594,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,5.520583712974106e-05,-4.258015000183619,11.208071273668798,0.00011642869277289412
BA,2025-09-27,2767724.91,221.25999450683594,756157695.0,167307447442.0017,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,1.6542747811387482e-05,-4.781392350877383,11.22351527336513,3.615152901683669e-05
BA,2025-09-29,14794121.68,221.25999450683594,756157695.0,167307447442.0017,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,8.842476474413062e-05,-4.053426086960899,11.22351527336513,0.000193238178137123
BA,2025-09-30,1240692.87,217.0800018310547,770717945.0,167307452911.82672,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,7.415646155666848e-06,-5.129851001127259,11.22351528756363,1.620570893036743e-05
BA,2025-10-03,155927.3,217.42999267578125,756157695.0,164411362085.58563,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,9.48397349319634e-07,-6.023009668503914,11.21593182731938,2.0366945754254886e-06
BA,2025-10-22,1420662.34,217.25999450683594,756157695.0,164282816662.0017,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,8.647662420610278e-06,-5.063101272307257,11.21559214031187,1.8556438041249235e-05
BA,2025-10-23,1269109.0,216.58999633789062,756157695.0,163776192390.91782,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,7.74904448242856e-06,-5.110751846086267,11.21425077004512,1.6576875351036456e-05
BA,2025-11-05,8205314.01,198.0500030517578,760095468.0,150536909757.02728,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,5.450699116411856e-05,-4.263547790764189,11.177642996531217,0.00010717634778406196
BA,2025-11-06,788192.0,197.6199951171875,760095468.0,150210062674.75635,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,5.247264969901781e-06,-5.280067004781896,11.176699027326848,1.029522329184028e-05
BA,2025-11-13,7320359.0,195.5,760095468.0,148598663994.0,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,4.92626165218792e-05,-4.307482524879463,11.172014904830736,9.561722331796392e-05
BA,2025-11-19,903610.2,189.6300048828125,760095468.0,144136907308.24365,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,6.269110506635101e-06,-5.202794074713784,11.158775199328991,1.180279522982275e-05
BA,2025-11-25,239993335.95,179.1199951171875,760095468.0,136148296516.75635,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.0017627347685577762,-2.753813029287362,11.134012211830953,0.003134750139761491
BA,2025-11-26,800608.0,182.44000244140625,760095468.0,138671819037.62183,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,5.7734008651231016e-06,-5.238568287042009,11.141988212479465,1.045739886884625e-05
BA,2025-12-01,3012.12,189.0,760095468.0,143658043452.0,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,2.096729098921934e-08,-7.678457677519094,11.157329947272094,3.934377408273358e-08
BA,2025-12-03,12825464.16,205.3800048828125,760095468.0,156108410929.24365,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,8.215741921691303e-05,-4.0853532115414675,11.193426302945516,0.00016752392481615485
