ticker,award_date,company,peak_pct,peak_class,MD4,MTS_signal_score
LDOS,2025-12-30,"LEIDOS, INC.",8.175606451276396,<10%,2.145176371444756,0.8361844304153815
LDOS,2025-12-31,"LEIDOS, INC.",9.944560652188382,<10%,3.141226359672662,0.8171108714567646
LDOS,2026-01-07,"LEIDOS, INC.",0.8799163517704045,<10%,1.381205943383361,0.6409972503290491
LDOS,2026-01-08,"LEIDOS, INC.",1.5981917020126746,<10%,1.5204552556437465,0.5606018482638006
LDOS,2026-01-09,"LEIDOS, INC.",0.0,<10%,1.4869241150594734,0.5979011114029957
LDOS,2026-01-13,"LEIDOS, INC.",0.0,<10%,1.5590159287443388,0.5623926310497785
LDOS,2026-01-15,"LEIDOS, INC.",0.7033547008801433,<10%,1.7734210003429118,0.6260787911187788
LDOS,2026-01-16,"LEIDOS, INC.",0.01027319119693,<10%,1.69154411291816,2.0141050251069443
LDOS,2026-01-20,"LEIDOS, INC.",1.990358805057868,<10%,1.837033398484144,0.6839546113227933
LDOS,2026-01-21,"LEIDOS, INC.",1.3533217843865852,<10%,1.7316077198117072,0.601234096845768
LDOS,2026-01-22,"LEIDOS, INC.",0.6565033611943605,<10%,1.647938852826745,0.6117146876583507
LDOS,2026-01-26,"LEIDOS, INC.",2.7546203851839923,<10%,1.784061838910716,0.5147797610746027
LDOS,2026-01-27,"LEIDOS, INC.",4.044887399273378,<10%,2.013445557488803,0.49592469510016607
LDOS,2026-01-28,"LEIDOS, INC.",3.701333185960953,<10%,2.035369996532068,0.6696828002239644
LDOS,2026-01-29,"LEIDOS, INC.",4.022652282203398,<10%,2.109127521002679,0.5524679223134566
LDOS,2026-01-30,"LEIDOS, INC.",3.4204453973062376,<10%,2.03859395997155,0.5952126584919512
LDOS,2026-02-06,"LEIDOS, INC.",0.8964212985227205,<10%,2.670804048259666,0.7930146483811533
LDOS,2026-02-10,"LEIDOS, INC.",0.0,<10%,4.24983018750073,0.8125053712951013
LDOS,2026-02-18,"LEIDOS, INC.",5.31685012040326,<10%,2.1420370151890005,1.011614445159583
LDOS,2026-02-19,"LEIDOS, INC.",2.4848169860953284,<10%,1.8212927677264,0.9288634883392544
LDOS,2026-02-20,"LEIDOS, INC.",4.121036069262507,<10%,2.0059911292648542,0.9336555226742194
LDOS,2026-02-23,"LEIDOS, INC.",5.029071196966495,<10%,2.278906157658754,0.8998200946233108
LDOS,2026-02-26,"LEIDOS, INC.",2.723750454885132,<10%,2.293048437834167,0.9186727455814465
LDOS,2026-02-27,"LEIDOS, INC.",3.1696076334218226,<10%,2.479559640017609,0.9177704653961622
LDOS,2026-03-03,"LEIDOS, INC.",0.0,<10%,2.1973830905293688,0.8955147656757565
LDOS,2026-03-04,"LEIDOS, INC.",1.6072492624170651,<10%,2.1949876064864737,1.0534128330334778
LDOS,2026-03-05,"LEIDOS, INC.",2.208812950268979,<10%,2.233304932435288,0.8846235577036333
LDOS,2026-03-06,"LEIDOS, INC.",0.927537127329825,<10%,2.220881311203504,0.8862386162972972
LDOS,2026-03-09,"LEIDOS, INC.",0.0,<10%,2.413218478691121,0.8651557611829339
LDOS,2026-03-11,"LEIDOS, INC.",0.2826461530833324,<10%,2.120687043270528,0.938825973733665
LDOS,2026-03-18,"LEIDOS, INC.",0.0,<10%,2.0760209486536514,0.6329220159437
LDOS,2026-03-19,"LEIDOS, INC.",0.0,<10%,2.1863164557140125,0.7026416193346796
LDOS,2026-03-23,"LEIDOS, INC.",0.0,<10%,2.2628079074226224,0.7138313672279625
LDOS,2026-03-24,"LEIDOS, INC.",1.0377936091607642,<10%,2.0876686276987293,0.7558536084171411
LDOS,2026-03-26,"LEIDOS, INC.",1.941868144127024,<10%,2.3535425492161983,0.7825807425729634
LDOS,2026-03-30,"LEIDOS, INC.",4.18314766073582,<10%,2.378271485909569,0.8081833638577326
LDOS,2026-03-31,"LEIDOS, INC.",3.292178841412752,<10%,2.548624569472462,0.8965277047218824
LDOS,2026-04-02,"LEIDOS, INC.",1.1459448035541886,<10%,2.4843044389661584,0.9350674286673868
LDOS,2026-04-06,"LEIDOS, INC.",0.7336781881038146,<10%,2.5983435218989355,0.9822278107957794
LMT,2025-08-12,LOCKHEED MARTIN CORPORATION,20.02774009309105,20-50%,2.9726301752249547,2.7198271347022533
LMT,2025-08-13,LOCKHEED MARTIN CORPORATION,17.0417405298662,10-20%,2.595147319557327,4.017912809173034
LMT,2025-08-14,LOCKHEED MARTIN CORPORATION,18.44683593253941,10-20%,2.733484342342785,7.312387046273369
LMT,2025-08-15,LOCKHEED MARTIN CORPORATION,18.381857931654032,10-20%,2.7335408074119942,4.797631556762819
LMT,2025-08-18,LOCKHEED MARTIN CORPORATION,17.554379963928056,10-20%,2.628385224465232,4.122094378225517
LMT,2025-08-20,LOCKHEED MARTIN CORPORATION,16.141631774392074,10-20%,2.4802674837927534,2.6278416973045045
LMT,2025-08-21,LOCKHEED MARTIN CORPORATION,15.82998072604138,10-20%,2.464108033688836,2.168195329647385
LMT,2025-08-22,LOCKHEED MARTIN CORPORATION,16.08956944633406,10-20%,2.5121147998606124,3.2901806983660093
LMT,2025-08-25,LOCKHEED MARTIN CORPORATION,15.695442945077652,10-20%,2.492983668758052,2.6172408837673142
LMT,2025-08-26,LOCKHEED MARTIN CORPORATION,13.997834378389795,10-20%,2.376905962088127,2.467039682590179
LMT,2025-08-27,LOCKHEED MARTIN CORPORATION,16.584364069689173,10-20%,2.461917388207268,2.37541218424901
LMT,2025-08-28,RAYTHEON/LOCKHEED MARTIN JAVELIN JV,16.14735054829024,10-20%,2.5082628995444467,3.1774793749654555
LMT,2025-08-29,LOCKHEED MARTIN CORPORATION,16.28754572594129,10-20%,2.598120924868847,3.2105903624731575
LMT,2025-09-02,LOCKHEED MARTIN CORP,20.893252399690667,20-50%,2.691623982050823,4.900062609794425
LMT,2025-09-04,LOCKHEED MARTIN CORPORATION,23.13423590844723,20-50%,2.784085746121604,4.292440678646335
LMT,2025-09-05,LOCKHEED MARTIN CORPORATION,24.390632089489927,20-50%,2.90684710072301,4.302331159798888
LMT,2025-09-07,LOCKHEED MARTIN CORPORATION,26.82745405154987,20-50%,3.082551586960486,3.804630149848205
LMT,2025-09-08,LOCKHEED MARTIN CORPORATION,26.82746264659324,20-50%,3.082551813923037,3.5234122419861005
LMT,2025-09-09,LOCKHEED MARTIN CORPORATION,28.39713502985297,20-50%,3.232221955975571,3.3283965024151034
LMT,2025-09-10,LOCKHEED MARTIN CORPORATION,26.51215507867765,20-50%,3.2228201903049087,3.286015345707046
LMT,2025-09-11,LOCKHEED MARTIN CORPORATION,25.481876191268714,20-50%,3.332749920335822,3.109919503458277
LMT,2025-09-12,LOCKHEED MARTIN CORPORATION,26.969313560594223,20-50%,3.498425751422108,3.0164705465448303
LMT,2025-09-15,LOCKHEED MARTIN CORPORATION,26.44883949385504,20-50%,3.651308735278058,3.2354923291601123
LMT,2025-09-16,LOCKHEED MARTIN CORPORATION,26.163588533117267,20-50%,3.7846957525737897,3.511767273625937
LMT,2025-09-17,LOCKHEED MARTIN CORPORATION,26.705071257926384,20-50%,3.920499627177338,3.3653697931394544
LMT,2025-09-18,LOCKHEED MARTIN CORPORATION,27.064885404162343,20-50%,4.007835180280402,4.318275196956376
LMT,2025-09-19,LOCKHEED MARTIN CORPORATION,32.62491692642988,20-50%,4.1166034327441245,4.292252759455105
LMT,2025-09-22,LOCKHEED MARTIN CORP,33.02422799010456,20-50%,4.102406469280563,4.171023710203034
LMT,2025-09-23,LOCKHEED MARTIN CORPORATION,31.67621253692381,20-50%,4.153475743550111,4.021456774083996
LMT,2025-09-24,LOCKHEED MARTIN CORPORATION,31.78994928964487,20-50%,4.224627916828781,3.940855568036911
LMT,2025-09-25,LOCKHEED MARTIN CORPORATION,32.30967918158545,20-50%,4.257835860916933,3.9148427637144785
LMT,2025-09-26,LOCKHEED MARTIN CORPORATION,31.46821838511118,20-50%,4.215195894987104,4.155915076540832
LMT,2025-09-29,LOCKHEED MARTIN CORP,30.25501044026837,20-50%,4.149768107571764,3.9836191147799735
LMT,2025-09-30,LOCKHEED MARTIN CORPORATION,28.830755764549387,20-50%,4.089865099529102,10.03063441311205
LMT,2025-10-06,LOCKHEED MARTIN CORPORATION,27.86531663190901,20-50%,4.172028125821278,9.286112221222295
LMT,2025-10-07,LOCKHEED MARTIN CORPORATION,28.658412339204297,20-50%,4.229726554738536,9.094686017247335
LMT,2025-10-15,LOCKHEED MARTIN CORPORATION,34.47274192589758,20-50%,4.688397949436476,8.155737697595203
LMT,2025-10-16,LOCKHEED MARTIN CORPORATION,36.15212118727194,20-50%,4.746450579029071,8.019942422322869
LMT,2025-10-21,LOCKHEED MARTIN CORPORATION,40.02677493595475,20-50%,4.908428319431908,7.501768164548617
LMT,2025-10-22,LOCKHEED MARTIN CORPORATION,40.705132442664606,20-50%,4.951390706228796,7.315530053729381
LMT,2025-10-23,LOCKHEED MARTIN CORP,40.44280193446139,20-50%,4.951500703977549,7.118169709236015
LMT,2025-10-28,LOCKHEED MARTIN CORPORATION,41.10197562362687,20-50%,5.058908937295508,6.56075796141661
LMT,2025-10-29,LOCKHEED MARTIN CORPORATION,41.22990148025474,20-50%,5.089168634122395,6.38466990977981
LMT,2025-11-06,LOCKHEED MARTIN CORPORATION,46.17227051896402,20-50%,5.375791446402256,5.765420226481452
LMT,2025-11-12,LOCKHEED MARTIN CORPORATION,49.97178228532037,20-50%,5.814999163317212,5.497630645353218
LMT,2025-11-13,"LOCKHEED MARTIN OVERSEAS, LLC",50.36328654210224,>50%,5.960005798026014,5.365498130788316
LMT,2025-11-14,LOCKHEED MARTIN CORPORATION,47.16084643509189,20-50%,5.708764051049113,5.260154461517487
LMT,2025-11-17,LOCKHEED MARTIN CORPORATION,45.594767285089645,20-50%,5.618457344029039,5.147411096479076
LMT,2025-11-18,"LOCKHEED MARTIN GLOBAL, INC.",44.38638810108437,20-50%,5.572652099567363,5.064244793127766
LMT,2025-11-19,LOCKHEED MARTIN CORPORATION,45.8643244208865,20-50%,5.644594993332326,5.40908653602727
LMT,2025-11-21,LOCKHEED MARTIN CORPORATION,48.75451380790703,20-50%,5.779716319655104,4.810327682278708
LMT,2025-11-24,LOCKHEED MARTIN CORPORATION,51.96006388839742,>50%,6.037476624967385,4.842592596488343
LMT,2025-11-25,LOCKHEED MARTIN CORPORATION,51.50661488318456,>50%,6.013097214481024,4.928417339076409
LMT,2025-11-26,LOCKHEED MARTIN CORPORATION,50.92280214192285,>50%,5.964769281936256,4.86857871109942
LMT,2025-12-02,LOCKHEED MARTIN CORP,53.96910719331596,>50%,6.530550001742806,4.698781709116374
LMT,2025-12-03,LOCKHEED MARTIN CORPORATION,52.25297207563757,>50%,6.416218577251562,4.629167717158985
LMT,2025-12-04,LOCKHEED MARTIN CORPORATION,51.72662068699525,>50%,6.473609353777238,4.5594340226975305
LMT,2025-12-09,LOCKHEED MARTIN CORPORATION,45.7016147764292,20-50%,5.953871816790355,4.504333464617073
LMT,2025-12-10,LOCKHEED MARTIN CORPORATION,45.37468225107162,20-50%,5.962070395478514,4.487771733125993
LMT,2025-12-11,LOCKHEED MARTIN CORPORATION,43.250148761790165,20-50%,5.771339094723833,4.414807185014893
LMT,2025-12-12,LOCKHEED MARTIN CORPORATION,41.6483738065275,20-50%,5.657125302429639,4.468452826256712
LMT,2025-12-15,LOCKHEED MARTIN CORPORATION,40.42902404382989,20-50%,5.59850180793273,4.326025829304765
LMT,2025-12-16,LOCKHEED MARTIN CORPORATION,42.5955501931814,20-50%,5.77964313997865,4.31057352959196
LMT,2025-12-17,LOCKHEED MARTIN CORPORATION,43.277297506929614,20-50%,5.890486141239848,4.279491183626862
LMT,2025-12-18,LOCKHEED MARTIN CORPORATION,44.69441012979083,20-50%,6.109271427094302,4.262774372414461
LMT,2025-12-19,LOCKHEED MARTIN CORPORATION,43.47673743543026,20-50%,6.026828498738728,4.314850081274074
LMT,2025-12-23,LOCKHEED MARTIN CORPORATION,40.97323484822646,20-50%,5.791010341814864,4.398989238211033
LMT,2025-12-29,LOCKHEED MARTIN CORPORATION,39.15075783549782,20-50%,5.66832868419327,4.369737711652769
LMT,2025-12-30,LOCKHEED MARTIN CORPORATION,39.39883167608378,20-50%,5.767218045241507,4.272425586520153
LMT,2026-01-06,LOCKHEED MARTIN CORPORATION,30.309232566332646,20-50%,4.762597679972333,4.138557495506763
LMT,2026-01-07,LOCKHEED MARTIN CORPORATION,36.91031774668938,20-50%,6.40586342988791,4.189546406777372
LMT,2026-01-08,LOCKHEED MARTIN CORPORATION,31.21409462282692,20-50%,5.466340281112035,4.085061112439725
LMT,2026-01-09,LOCKHEED MARTIN CORPORATION,25.297710151169085,20-50%,4.374173964351157,4.033077194910998
LMT,2026-01-12,LOCKHEED MARTIN CORPORATION,23.40655157176954,20-50%,4.097033106961259,4.100764451320249
LMT,2026-01-13,LOCKHEED MARTIN CORPORATION,21.84601371762021,20-50%,3.871729924285341,3.9827322436686337
LMT,2026-01-14,LOCKHEED MARTIN CORPORATION,18.78230202478772,10-20%,3.388875938053201,3.95585405280736
LMT,2026-01-16,LOCKHEED MARTIN CORPORATION,16.797955033774038,10-20%,3.118419141726024,3.8469657765299785
LMT,2026-01-21,LOCKHEED MARTIN CORPORATION,16.040859235651816,10-20%,3.011572844467275,3.758882658914062
LMT,2026-01-22,LOCKHEED MARTIN CORP,14.540297960215476,10-20%,2.831554250065011,3.7086025778522185
LMT,2026-01-23,LOCKHEED MARTIN CORP,15.13935069432575,10-20%,2.9030481848108898,3.6524482411021557
LMT,2026-01-26,LOCKHEED MARTIN CORPORATION,16.9525728584323,10-20%,3.316812572807343,3.6199227569443053
LMT,2026-01-27,LOCKHEED MARTIN CORPORATION,14.340073740646297,10-20%,2.8387620933029387,3.606624495264697
LMT,2026-01-28,LOCKHEED MARTIN CORPORATION,13.895934250840568,10-20%,2.821281307523421,3.5824649902821117
