ticker,award_date,company,same_day_award_count,transaction_amount_sum,transaction_amount_abs_sum,prior_abs_award_max,prior_signed_award_mean,prior_abs_award_median,prior_transactions_30d,prior_award_days_30d,pre_volatility_market_20d,relative_strength_spy_60d,relative_strength_spy_120d,prior_response_mean_20d,prior_response_count_60d,event_trading_day,peak_pct,peak_day,day90_pct,actual_winner_ge20,MTS_signal_score,predicted_buy,market_cap_before,log10_market_cap_before,sector_group,prior_response_count_60d_adj,prior_abs_award_median_adj,scaleaware8_MD,scaleaware8_buy,old11_buy
HII,2025-09-10,HUNTINGTON INGALLS INC,2,-8784788.0,16251800.0,264032285.0,18282032.24842105,5051089.0,79,19,0.8461886417415823,7.848522206867624,16.852058882133015,,0,2025-09-10,57.311893248674096,89,53.50005808664302,1,1.1124435318791164,0,10356741332.391357,10.015223129542264,AERO_DEFENSE,,5.479225399383886,13.79474254223586,1,0
HII,2025-09-11,HUNTINGTON INGALLS INC,1,5000000.0,5000000.0,264032285.0,17005958.886,5251197.1850000005,83,20,0.8999889968591702,11.57115649816163,21.385988112364515,,0,2025-09-11,54.9527806702486,88,53.7812544848212,1,1.0624509323307283,0,10545205905.963135,10.023055064203579,AERO_DEFENSE,,5.4960987051131145,13.832048980034983,1,0
HII,2025-09-15,HUNTINGTON INGALLS INC,2,3317128.77,3317128.77,264032285.0,16414616.805454545,5596334.1850000005,82,18,0.8958522844613962,6.194402262065044,18.60205322686428,,0,2025-09-15,56.68384550895658,86,53.99089118694174,1,1.0077034012754953,0,10653012173.492432,10.027472423301909,AERO_DEFENSE,,5.523744019033218,13.835187701200871,1,0
HII,2025-09-18,HUNTINGTON INGALLS INCORPORATED,1,-40888.0,40888.0,264032285.0,16065200.7704,5911543.0,97,20,0.8754266338253984,10.031116481608285,19.577369437266,2.717618651235765,0,2025-09-18,55.73125604540344,83,55.54477319647433,1,1.028495345498291,0,10565767427.264221,10.023901046804504,AERO_DEFENSE,,5.5475412315009445,13.864795092793756,1,0
HII,2025-09-29,HUNTINGTON INGALLS INCORPORATED,2,4734019.0,5090481.0,264032285.0,13380718.16125,7120081.0,100,18,1.0640098599120509,5.010610101298375,21.834141688446927,2.9316062847837543,0,2025-09-29,54.37866220647112,87,42.92709171092983,1,0.9156722988885868,0,11059950974.179688,10.043753201861046,AERO_DEFENSE,,5.628325312869977,13.93467477554141,1,0
HII,2025-09-30,HUNTINGTON INGALLS INC,1,394315.5,394315.5,264032285.0,13682386.864848483,7292442.0,106,19,1.2278635159908935,6.491964813504424,20.26222650804985,2.903883312107148,0,2025-09-30,49.88527650015242,86,41.57537374698149,1,0.8538438382474928,0,10839936906.784668,10.035026754424232,AERO_DEFENSE,,5.638713362223925,13.939442839517078,1,0
HII,2025-10-03,HUNTINGTON INGALLS INCORPORATED,1,176686.0,176686.0,264032285.0,12982528.292777777,7120081.0,127,21,1.3003712113041357,3.436553331875446,7.151088453324057,2.540348554605389,0,2025-10-03,51.820550536420406,83,43.73551853936595,1,0.9021651417719528,0,10944252462.38095,10.039186102811193,AERO_DEFENSE,,5.628325312869977,13.859775761241732,1,0
HII,2025-11-07,HUNTINGTON INGALLS INCORPORATED,1,994000.0,994000.0,264032285.0,9192487.613962265,3061148.0,40,14,2.21701050753182,11.988257877221995,23.017940897267472,4.509363269973578,0,2025-11-07,47.6789763346724,76,32.788374730781086,1,1.080166127058096,0,11844557651.427795,10.073518846136773,AERO_DEFENSE,,5.261724705871667,13.623952488021166,1,0
HII,2025-11-21,HUNTINGTON INGALLS INCORPORATED,2,-140798.0,196216.0,264032285.0,9758755.725666666,2695503.0,39,14,2.1823785420620694,9.685721468856023,23.477736080700986,5.447688329305164,3,2025-11-21,49.64647721073172,66,34.45194693028802,1,0.8426311679241464,0,11704950453.81372,10.068369579700235,AERO_DEFENSE,-0.11747299492243529,5.20648019807093,13.668968541961986,1,0
HII,2025-12-03,HUNTINGTON INGALLS INCORPORATED,1,122426.0,122426.0,730377721.0,22091359.235454544,3293042.5,43,15,1.598854933046593,10.844733527821138,22.30394857040807,5.479358380604814,11,2025-12-03,47.18747874793048,59,29.15114809893651,1,0.8831742934284664,0,11965735697.802063,10.077939405805559,AERO_DEFENSE,0.4467984355161272,5.293437714303331,13.708748101887366,1,0
