ticker,award_date,company,transaction_amount_abs_sum,peak_pct,prior_response_count_60d,pre_volatility_market_20d,relative_strength_spy_120d,prior_abs_award_max,prior_signed_award_mean,prior_abs_award_median,prior_response_mean_20d,transaction_amount_abs_sum,prior_transactions_30d,relative_strength_spy_60d,prior_award_days_30d,award_to_market_cap,log10_award_to_market_cap,log10_market_cap_before,award_to_ltm_revenue,market_cap_before,ltm_revenue_before
LDOS,2026-02-20,"LEIDOS, INC.",387678.1,4.121036069262507,64,3.763174725124717,-10.759605417671668,692696416.59,34303815.400625,15130223.6,0.9581418098308506,387678.1,240,-11.676162884478526,21,1.724574909507102e-05,-4.7633179366523395,10.351789204985344,2.266195709358742e-05,22479632393.051666,17107000000.0
LDOS,2026-02-23,"LEIDOS, INC.",4464283.19,5.029071196966495,65,3.761034973547886,-10.90209356854408,692696416.59,34116506.052480616,14951281.79,0.8532905520307611,4464283.19,206,-10.062904178154696,19,0.00020176297927895277,-3.695158517830588,10.344910253928884,0.0002609623656982522,22126374253.364822,17107000000.0
LDOS,2026-02-26,"LEIDOS, INC.",1868344.72,2.723750454885132,68,3.900358670613397,-7.883193859546978,692696416.59,33682458.02780303,15130223.6,0.5663294768050928,1868344.72,233,-8.928686537975928,21,8.653219848993142e-05,-4.062822262193708,10.334279271230068,0.00010921521716256503,21591323837.88208,17107000000.0
LDOS,2026-02-27,"LEIDOS, INC.",685316.53,3.1696076334218226,69,3.900550576271732,-8.337653199437266,692696416.59,33610812.09729323,15309165.41,0.4697633539025772,685316.53,245,-7.997024110028327,21,3.0662860259878685e-05,-4.51338733620233,10.349278543433714,4.006059098614603e-05,22350052284.48024,17107000000.0
LDOS,2026-03-03,"LEIDOS, INC.",428571.0,0.0,71,3.948762573840333,-3.858477149550432,692696416.59,33298295.01829629,15309165.41,0.3066124657327038,428571.0,192,-3.6895862155653103,20,1.879701418986551e-05,-4.7259111307282735,10.35793391113898,2.505237622026071e-05,22799950868.317474,17107000000.0
LDOS,2026-03-04,"LEIDOS, INC.",65930731.0,1.6072492624170651,72,3.966450150687418,-7.248059500332138,692696416.59,33309247.26544117,15330153.59,0.2477674994961177,65930731.0,200,-8.36497014605062,21,0.0028716961132812225,-2.5418615196204746,10.360949410584961,0.0038540206348278484,22958811935.245834,17107000000.0
LDOS,2026-03-05,"LEIDOS, INC.",1099754.0,2.208812950268979,73,3.96584127604417,-8.88744687528723,692696416.59,33700553.509124085,15351141.77,0.1889390664989717,1099754.0,204,-5.414906028757927,21,4.8971967892052214e-05,-4.31005244391955,10.351347994177242,6.428678318816859e-05,22456806359.592545,17107000000.0
LDOS,2026-03-06,"LEIDOS, INC.",2838993.31,0.927537127329825,73,3.973150175897421,-5.679549121109417,692696416.59,33558640.828985505,15330153.59,0.146284184019972,2838993.31,201,-2.591715421102303,21,0.00012716863953866528,-3.8956199748079796,10.348784343933518,0.00016595506576255335,22324633811.44226,17107000000.0
LDOS,2026-03-09,"LEIDOS, INC.",4220229.73,0.0,74,3.878389057102015,-4.737852088169969,692696416.59,33424925.285683453,15351141.77,0.1111436519576516,4220229.73,192,-2.299678600284949,19,0.00018666937775683906,-3.728926920197649,10.354263012807607,0.00024669607353714856,22608045201.165207,17107000000.0
LDOS,2026-03-11,"LEIDOS, INC.",162761.16,0.2826461530833324,76,3.955628635784953,-8.65058828092028,692696416.59,33424641.2506383,15351141.77,-0.0066647431563735,162761.16,213,-7.226652889310936,21,7.423779034486838e-06,-5.129374963180791,10.340925739593075,9.514301747822528e-06,21924300177.025772,17107000000.0
